Column Name,Hospital 18 Mean,Hospital 18 Standard Deviation,Column Name,Hospital 22 Mean,Hospital 22 Standard Deviation,Column Name,Hospital 43 Mean,Hospital 43 Standard Deviation,Column Name,Hospital 45 Mean,Hospital 45 Standard Deviation,Column Name,Hospital 55 Mean,Hospital 55 Standard Deviation
original_firstorder_RobustMeanAbsoluteDeviation,31.8480204644415,8.08675647579977,original_firstorder_RobustMeanAbsoluteDeviation,29.708785495018073,11.287391182143601,original_firstorder_RobustMeanAbsoluteDeviation,25.013070678236158,9.531603623876606,original_firstorder_RobustMeanAbsoluteDeviation,28.831560344533607,10.448784275442335,original_firstorder_RobustMeanAbsoluteDeviation,31.561944362616746,12.384749224476478
original_glcm_ClusterShade,26.94113605583246,31.4460935945368,original_glcm_ClusterShade,15.66799834842732,35.183556041828254,original_glcm_ClusterShade,15.275687994701135,16.250815861267863,original_glcm_ClusterShade,24.000783053403833,28.495024240703977,original_glcm_ClusterShade,21.745953034247115,23.75562524238993
original_glszm_HighGrayLevelZoneEmphasis,26.84924014000339,5.453931192689099,original_glszm_HighGrayLevelZoneEmphasis,26.51775337103232,10.739044809074992,original_glszm_HighGrayLevelZoneEmphasis,18.124028925233546,9.001177060518692,original_glszm_HighGrayLevelZoneEmphasis,23.38977936511899,8.904079069422284,original_glszm_HighGrayLevelZoneEmphasis,22.866204908413323,10.536678902295538
original_glrlm_HighGrayLevelRunEmphasis,26.198388345964975,5.019393443911313,original_glrlm_HighGrayLevelRunEmphasis,24.44963068581687,9.647455395912571,original_glrlm_HighGrayLevelRunEmphasis,17.363305552079435,8.694592969549445,original_glrlm_HighGrayLevelRunEmphasis,21.302920329732647,7.674071396121638,original_glrlm_HighGrayLevelRunEmphasis,21.3354456675435,9.621005051402308
original_gldm_LargeDependenceLowGrayLevelEmphasis,21.57139942518105,11.306419185423328,original_gldm_LargeDependenceLowGrayLevelEmphasis,26.100195725587803,15.649469189444657,original_gldm_LargeDependenceLowGrayLevelEmphasis,37.031819548935495,18.377679372694978,original_gldm_LargeDependenceLowGrayLevelEmphasis,33.21063335284788,16.6087178606128,original_gldm_LargeDependenceLowGrayLevelEmphasis,34.32560406109568,13.685017229924084
original_gldm_HighGrayLevelEmphasis,17.25312756994439,5.4383975918338,original_gldm_HighGrayLevelEmphasis,15.90462324073979,8.884405414568556,original_gldm_HighGrayLevelEmphasis,10.69952302800341,7.816019577887802,original_gldm_HighGrayLevelEmphasis,12.018950311926279,5.7095783566399865,original_gldm_HighGrayLevelEmphasis,11.640799008265168,6.33939103563382
original_glcm_Autocorrelation,17.187458375682542,5.426649925548517,original_glcm_Autocorrelation,15.872388309262437,8.876819099354643,original_glcm_Autocorrelation,10.653216215786047,7.795404640248667,original_glcm_Autocorrelation,11.99286122624611,5.699838678677541,original_glcm_Autocorrelation,11.619125842883285,6.336306847887852
original_firstorder_10Percentile,15.714285714285714,17.442870012865264,original_firstorder_10Percentile,15.391752577319588,19.955970650529917,original_firstorder_10Percentile,7.6,14.934940877566058,original_firstorder_10Percentile,9.793388429752065,16.222370025868564,original_firstorder_10Percentile,6.777777777777778,12.718506094222578
original_glszm_SmallAreaHighGrayLevelEmphasis,15.331909500666226,3.6586225879572245,original_glszm_SmallAreaHighGrayLevelEmphasis,15.35900959065026,6.63444584391675,original_glszm_SmallAreaHighGrayLevelEmphasis,10.4538658888828,5.384113089750172,original_glszm_SmallAreaHighGrayLevelEmphasis,11.628893487646527,4.487258216951041,original_glszm_SmallAreaHighGrayLevelEmphasis,11.543036490656236,4.716466006119935
original_glcm_ClusterTendency,14.765402319732406,4.423508759705481,original_glcm_ClusterTendency,12.607008261631764,7.103744863064647,original_glcm_ClusterTendency,9.160855685264085,5.770048026349552,original_glcm_ClusterTendency,11.115864025430362,5.919536096204689,original_glcm_ClusterTendency,11.756323890128783,7.205530571809458
original_glrlm_ShortRunHighGrayLevelEmphasis,12.150244817670137,2.828377430986605,original_glrlm_ShortRunHighGrayLevelEmphasis,10.4470815551604,4.5647216157633554,original_glrlm_ShortRunHighGrayLevelEmphasis,7.87324416499524,4.2561082071088805,original_glrlm_ShortRunHighGrayLevelEmphasis,7.663244979225761,3.4242281391071265,original_glrlm_ShortRunHighGrayLevelEmphasis,8.2729558776074,3.614015279984645
original_glcm_SumAverage,7.227799714747061,1.3771397646684664,original_glcm_SumAverage,6.787125187337051,2.2223155925824587,original_glcm_SumAverage,5.367868493070159,2.1800753633085423,original_glcm_SumAverage,5.837143687140125,1.6910283072143155,original_glcm_SumAverage,5.670853338152818,1.6203438376978196
original_glrlm_RunEntropy,6.250870367849371,0.3073616678274963,original_glrlm_RunEntropy,6.583899154030915,0.4496624072065635,original_glrlm_RunEntropy,6.173323764275556,0.313717952383592,original_glrlm_RunEntropy,7.119606721921282,0.7355317775306358,original_glrlm_RunEntropy,6.66347689487715,0.5890960548469664
original_glszm_ZoneEntropy,5.398100096310068,0.37836955234146524,original_glszm_ZoneEntropy,5.2888926726300625,0.38126741872042613,original_glszm_ZoneEntropy,5.1926049705509785,0.33046872693720475,original_glszm_ZoneEntropy,5.628681638627088,0.6924031403682409,original_glszm_ZoneEntropy,5.363076635665775,0.5726108181770475
original_ngtdm_Complexity,4.509670994750856,1.7482441762431007,original_ngtdm_Complexity,2.383867751902636,1.0460691424518809,original_ngtdm_Complexity,3.4518127102540097,1.6322742014264557,original_ngtdm_Complexity,1.7922335353788448,1.1299254332557531,original_ngtdm_Complexity,1.623987682790037,1.0056661396290953
original_gldm_DependenceEntropy,4.189033774649827,0.5513241099164882,original_gldm_DependenceEntropy,3.3489532647950786,0.7027473606648612,original_gldm_DependenceEntropy,3.2421853972512027,0.9903340525258689,original_gldm_DependenceEntropy,2.989842379266806,0.7030270822466264,original_gldm_DependenceEntropy,2.9349048645146834,0.5925924532889787
original_gldm_GrayLevelVariance,3.728717509627378,1.1032752361927514,original_gldm_GrayLevelVariance,3.1712405688122893,1.7795624668917485,original_gldm_GrayLevelVariance,2.315353470820924,1.452870349557709,original_gldm_GrayLevelVariance,2.7934188746091926,1.480145844689607,original_gldm_GrayLevelVariance,2.9523398049701868,1.8015688938013825
original_glcm_SumSquares,3.725880739337092,1.1041585816581954,original_glcm_SumSquares,3.169326152056594,1.7795859034796353,original_glcm_SumSquares,2.314047236848651,1.4518868444043591,original_glcm_SumSquares,2.7921184725692325,1.4801980462249347,original_glcm_SumSquares,2.9514126377375436,1.8014800343286028
original_glcm_JointAverage,3.613899857373531,0.6885698823342331,original_glcm_JointAverage,3.3935625936685256,1.1111577962912296,original_glcm_JointAverage,2.6839342465350797,1.0900376816542712,original_glcm_JointAverage,2.9185718435700627,0.845514153607158,original_glcm_JointAverage,2.8354266690764085,0.8101719188489097
original_glcm_JointEntropy,3.2221450616761818,0.31778950431252007,original_glcm_JointEntropy,2.71774376519424,0.5131421347903362,original_glcm_JointEntropy,2.511024849700056,0.7241484852843194,original_glcm_JointEntropy,2.502284545030175,0.497987706330034,original_glcm_JointEntropy,2.477284143540438,0.43930778013135185
original_glrlm_GrayLevelVariance,3.1017965901373383,0.8553323804513538,original_glrlm_GrayLevelVariance,2.595997366143235,1.2953958880215206,original_glrlm_GrayLevelVariance,2.1012856227646846,0.9281100514593983,original_glrlm_GrayLevelVariance,2.4566835440026593,0.943464451997653,original_glrlm_GrayLevelVariance,2.1095799046528705,0.8640302076660407
original_glcm_SumEntropy,3.099929024125017,0.2837060510329044,original_glcm_SumEntropy,2.6537851784996067,0.49141051801988467,original_glcm_SumEntropy,2.428360191446707,0.6846820527135734,original_glcm_SumEntropy,2.456168320723608,0.4757158967203891,original_glcm_SumEntropy,2.433974385470951,0.42507151262071075
original_glszm_GrayLevelVariance,3.0970164934804383,0.8428430042457699,original_glszm_GrayLevelVariance,2.492003124389523,1.3335864368608488,original_glszm_GrayLevelVariance,2.176967159498027,0.9388139257872938,original_glszm_GrayLevelVariance,2.242066771236143,0.8080576690332834,original_glszm_GrayLevelVariance,1.8728949409645543,0.7714419477165404
original_gldm_DependenceVariance,2.8286260965269694,0.7636903353386094,original_gldm_DependenceVariance,1.612661454987797,0.6556888333264264,original_gldm_DependenceVariance,2.0382223548769134,0.896963579805204,original_gldm_DependenceVariance,1.1530793371056334,0.7288262765812872,original_gldm_DependenceVariance,1.1252461800629827,0.5870647261401717
original_firstorder_Entropy,2.6638396343614987,0.20065793228681103,original_firstorder_Entropy,2.382701120575904,0.41667788814115314,original_firstorder_Entropy,2.1085248197425908,0.5657011511710832,original_firstorder_Entropy,2.248094146498721,0.3972767221579174,original_firstorder_Entropy,2.238985087716133,0.3745522839530528
original_firstorder_Kurtosis,2.511154293536373,0.5195061262057133,original_firstorder_Kurtosis,2.903754390719001,1.6913726050259388,original_firstorder_Kurtosis,4.144891475748485,5.859989538059087,original_firstorder_Kurtosis,2.9452194200501904,1.6062667215360205,original_firstorder_Kurtosis,2.813019281923755,3.1055992288879026
original_glcm_Idmn,0.998718984318504,0.0004140474395388882,original_glcm_Idmn,0.9993371604070544,0.0002902654545642584,original_glcm_Idmn,0.9991209413901969,0.0005304912911962482,original_glcm_Idmn,0.9995107805104275,0.0003091550645115363,original_glcm_Idmn,0.9995421577544543,0.00023030125148168666
original_glcm_Imc2,0.99199988954305,0.003103727613538422,original_glcm_Imc2,0.9891391307731896,0.010932461155953054,original_glcm_Imc2,0.9756849193810874,0.026576420561685295,original_glcm_Imc2,0.9881880558384973,0.009877493820872208,original_glcm_Imc2,0.9881377361502606,0.010346761047406429
original_glcm_Idn,0.9896393202573992,0.0037157003051753778,original_glcm_Idn,0.9946154042265102,0.0025115939416005557,original_glcm_Idn,0.9929410827416218,0.003938961125460344,original_glcm_Idn,0.9961198012087263,0.002671346847460115,original_glcm_Idn,0.9963661810964481,0.0020389896282749912
original_glcm_MCC,0.9869611996920238,0.008102157540076286,original_glcm_MCC,0.9931300302024364,0.004057510362207828,original_glcm_MCC,0.9854936427543387,0.007696817481675485,original_glcm_MCC,0.9941211875343101,0.004445210586912873,original_glcm_MCC,0.9945503561792916,0.005722556249561497
original_glcm_Correlation,0.9794584343149488,0.009480505277592515,original_glcm_Correlation,0.9865725029718024,0.006276450912629603,original_glcm_Correlation,0.97650622693137,0.009924238300182396,original_glcm_Correlation,0.9883545266733028,0.0074503998253199815,original_glcm_Correlation,0.9886242748949766,0.007979548170806336
original_glcm_Id,0.943875889963615,0.02034303014162415,original_glcm_Id,0.9708526134951352,0.013734130200752752,original_glcm_Id,0.9618056490834415,0.020904654453167353,original_glcm_Id,0.9790466576086149,0.01462237806340758,original_glcm_Id,0.9803751447528233,0.011200262866598813
original_glcm_Idm,0.9437383666178597,0.020398587847954962,original_glcm_Idm,0.9707705607099439,0.013747938866520705,original_glcm_Idm,0.9616932033801889,0.021210405581731328,original_glcm_Idm,0.9789856343991097,0.01463282694910495,original_glcm_Idm,0.980316503709726,0.011195839843218805
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.6208163870664332,0.26549306659939975,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.41637492422812405,0.28048863632718235,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.35328193997634094,0.30707682994510976,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.2685454341007642,0.20113198268777838,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.2518519901519157,0.15704065453355442
original_glszm_SmallAreaEmphasis,0.5755159301797492,0.06498585379162793,original_glszm_SmallAreaEmphasis,0.564254337915037,0.02873690744523031,original_glszm_SmallAreaEmphasis,0.5698526759987939,0.032929476119550334,original_glszm_SmallAreaEmphasis,0.5072950852582984,0.10932993183068197,original_glszm_SmallAreaEmphasis,0.5166072261210114,0.09009734823566928
original_gldm_DependenceNonUniformityNormalized,0.5142372323638487,0.13206103554973425,original_gldm_DependenceNonUniformityNormalized,0.7077458507704053,0.11338031515006099,original_gldm_DependenceNonUniformityNormalized,0.6420735371305055,0.14753997105232203,original_gldm_DependenceNonUniformityNormalized,0.7827625299090374,0.11996990927224517,original_gldm_DependenceNonUniformityNormalized,0.7946154559100793,0.09985147811372888
original_glcm_DifferenceEntropy,0.5029814994850638,0.1214361135301827,original_glcm_DifferenceEntropy,0.31586106087169236,0.10423439697195648,original_glcm_DifferenceEntropy,0.3782998007778896,0.14385424785198603,original_glcm_DifferenceEntropy,0.24123857149848185,0.11626469707713284,original_glcm_DifferenceEntropy,0.23311143843743845,0.09538841523969484
original_glrlm_ShortRunEmphasis,0.45349366717448114,0.040274943918846916,original_glrlm_ShortRunEmphasis,0.40115364735545966,0.04170583437548672,original_glrlm_ShortRunEmphasis,0.42912414014705363,0.03590397448525498,original_glrlm_ShortRunEmphasis,0.33496413764420163,0.08404529229398829,original_glrlm_ShortRunEmphasis,0.3774964951549187,0.06611975898752649
original_firstorder_Skewness,0.3361856734452573,0.41215144894148964,original_firstorder_Skewness,0.3172245413389003,0.7100477391614283,original_firstorder_Skewness,0.7230091596921312,0.7720321706759045,original_firstorder_Skewness,0.5129778297778327,0.5965234988447319,original_firstorder_Skewness,0.4988745176490377,0.4940740870857153
original_glszm_SizeZoneNonUniformityNormalized,0.3145331634661574,0.05596008796976627,original_glszm_SizeZoneNonUniformityNormalized,0.298261018663026,0.028575104091609058,original_glszm_SizeZoneNonUniformityNormalized,0.3044790362452082,0.03108620376250412,original_glszm_SizeZoneNonUniformityNormalized,0.2554878950304249,0.07769198921442765,original_glszm_SizeZoneNonUniformityNormalized,0.2608752356009895,0.06737825444199727
original_glcm_MaximumProbability,0.2824852074522305,0.09706684923567767,original_glcm_MaximumProbability,0.3553131197205068,0.13222209503986065,original_glcm_MaximumProbability,0.43844640160036447,0.1923382942218743,original_glcm_MaximumProbability,0.41544093127119786,0.15467483951152988,original_glcm_MaximumProbability,0.4008934892900593,0.14243875220391067
original_gldm_LowGrayLevelEmphasis,0.2807946623356793,0.1380902442592187,original_gldm_LowGrayLevelEmphasis,0.33002101135907985,0.1935677397374181,original_gldm_LowGrayLevelEmphasis,0.47240720027869315,0.22628409227041965,original_gldm_LowGrayLevelEmphasis,0.41654183474953516,0.20351400616195414,original_gldm_LowGrayLevelEmphasis,0.4304581806659294,0.16807661128163287
original_glrlm_RunLengthNonUniformityNormalized,0.20377902840524234,0.0285708673824163,original_glrlm_RunLengthNonUniformityNormalized,0.16254756874886514,0.02990670123568934,original_glrlm_RunLengthNonUniformityNormalized,0.18329992829520383,0.029021671827395897,original_glrlm_RunLengthNonUniformityNormalized,0.12440633427188483,0.04722711565132101,original_glrlm_RunLengthNonUniformityNormalized,0.1501834719961512,0.038667927265984905
original_firstorder_Uniformity,0.19138053964541538,0.0463395066312272,original_firstorder_Uniformity,0.2444775407000129,0.09166579122117806,original_firstorder_Uniformity,0.3164311231858313,0.14488695472831853,original_firstorder_Uniformity,0.28224253033373903,0.10435379897762617,original_firstorder_Uniformity,0.2719069895046929,0.09611891080074787
original_glszm_GrayLevelNonUniformityNormalized,0.16735248049734147,0.02538977017444084,original_glszm_GrayLevelNonUniformityNormalized,0.20527118316038218,0.054768074690400105,original_glszm_GrayLevelNonUniformityNormalized,0.21035335333870614,0.051863721241245705,original_glszm_GrayLevelNonUniformityNormalized,0.20634266477671984,0.04337336892498144,original_glszm_GrayLevelNonUniformityNormalized,0.2219341990847232,0.042276729102783794
original_glrlm_GrayLevelNonUniformityNormalized,0.16700897338707757,0.02531448905271517,original_glrlm_GrayLevelNonUniformityNormalized,0.2012428996029784,0.0526438003122317,original_glrlm_GrayLevelNonUniformityNormalized,0.21382170282615434,0.050709023947073904,original_glrlm_GrayLevelNonUniformityNormalized,0.19689237817787747,0.042430968469902824,original_glrlm_GrayLevelNonUniformityNormalized,0.2126686755864676,0.042025491294716194
original_glcm_JointEnergy,0.1627926834857368,0.05356482872613219,original_glcm_JointEnergy,0.22730069208684997,0.0957653809088749,original_glcm_JointEnergy,0.29377670307078374,0.15295004603933327,original_glcm_JointEnergy,0.26961319859393956,0.10990264757869167,original_glcm_JointEnergy,0.26063948218414695,0.09943588419191661
original_glcm_Contrast,0.13812063761596277,0.04219650834417913,original_glcm_Contrast,0.07029634659461359,0.030194022612394705,original_glcm_Contrast,0.09533326213051585,0.05835049226638198,original_glcm_Contrast,0.05260986484656652,0.032857915891968785,original_glcm_Contrast,0.04932666082139298,0.02402538853596924
original_glcm_DifferenceVariance,0.12294081707667202,0.032082796024027124,original_glcm_DifferenceVariance,0.06590853951420812,0.02598902315594207,original_glcm_DifferenceVariance,0.08704314384829376,0.04693022777707617,original_glcm_DifferenceVariance,0.049849795423303166,0.0283762948424947,original_glcm_DifferenceVariance,0.04716291949490476,0.021469010563085422
original_glcm_DifferenceAverage,0.1153160867138402,0.04090327907321985,original_glcm_DifferenceAverage,0.059882695937435546,0.027739105475480506,original_glcm_DifferenceAverage,0.07862961994926207,0.04410385975017188,original_glcm_DifferenceAverage,0.043255846495566984,0.02952850487659259,original_glcm_DifferenceAverage,0.040509308574637894,0.02247024060176723
original_glrlm_RunPercentage,0.11226235988387721,0.04056438054082225,original_glrlm_RunPercentage,0.0585003544293987,0.02741647501190096,original_glrlm_RunPercentage,0.07649195737403751,0.04103310316583918,original_glrlm_RunPercentage,0.04218240266633034,0.029233550798534874,original_glrlm_RunPercentage,0.039539294421780516,0.022421123987709488
original_glcm_InverseVariance,0.1106928472794601,0.04025227241133107,original_glcm_InverseVariance,0.05739518046380184,0.027328013364286433,original_glcm_InverseVariance,0.07517151545931412,0.03944971076234168,original_glcm_InverseVariance,0.041208986983055,0.02913003838868199,original_glcm_InverseVariance,0.03858827677435091,0.022424835514979872
